package_name,installed_version,latest_version,severity,cve_id,release_date,days_outdated,requires_reboot
openssl,1.1.1,3.0.12,CRITICAL,CVE-2024-1234,2024-03-15,45,No
curl,7.88.0,8.4.0,CRITICAL,CVE-2024-5678,2024-02-20,60,No
bash,5.1,5.2,CRITICAL,CVE-2024-9012,2024-01-10,80,No
nginx,1.24.0,1.25.3,HIGH,CVE-2024-3456,2024-03-01,35,No
mysql-server,8.0.33,8.3.0,HIGH,CVE-2024-7890,2024-02-10,55,Yes
python3,3.10.12,3.12.2,MEDIUM,CVE-2024-1111,2024-01-20,70,No
nodejs,18.15.0,21.6.2,HIGH,CVE-2024-2222,2024-03-05,30,No
git,2.40.0,2.44.0,MEDIUM,CVE-2024-3333,2024-02-28,40,No
docker,24.0.5,25.0.3,HIGH,CVE-2024-4444,2024-03-10,25,Yes
systemd,252,255,CRITICAL,CVE-2024-5555,2024-01-05,85,Yes
openssh,9.2,9.6,HIGH,CVE-2024-6666,2024-03-20,15,No
libssl3,3.0.8,3.2.1,CRITICAL,CVE-2024-7777,2024-02-15,50,No
apache2,2.4.57,2.4.58,MEDIUM,CVE-2024-8888,2024-03-25,10,No
php,8.2.0,8.3.4,HIGH,CVE-2024-9999,2024-01-15,75,No
redis,7.0.12,7.2.4,HIGH,CVE-2024-0001,2024-03-08,28,Yes
postgresql,15.3,16.2,MEDIUM,CVE-2024-0002,2024-02-05,55,No
mongodb,6.0.8,7.2.1,CRITICAL,CVE-2024-0003,2024-01-25,65,Yes
elasticsearch,7.17.12,8.12.2,HIGH,CVE-2024-0004,2024-03-12,20,Yes
vim,9.0,9.1,MEDIUM,CVE-2024-0005,2024-02-18,42,No
wpa_supplicant,2.10,2.11,CRITICAL,CVE-2024-0006,2024-01-30,60,Yes
